collection_name,source_file,diagram_title_or_architecture_name,recommended_diagram_type,rendered_svg_path,rendered_png_path,intended_latex_usage_notes
advanced-cloud-architecture-plantuml,advanced-cloud-architecture-plantuml/diagrams/01_hypervisor_clustering.puml,Hypervisor Clustering,Sequence,svg/advanced-cloud-architecture-plantuml/diagrams/01_hypervisor_clustering.svg,png/advanced-cloud-architecture-plantuml/diagrams/01_hypervisor_clustering.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/advanced-cloud-architecture-plantuml/diagrams/01_hypervisor_clustering.png."
advanced-cloud-architecture-plantuml,advanced-cloud-architecture-plantuml/diagrams/02_virtual_server_clustering.puml,Virtual Server Clustering,Deployment,svg/advanced-cloud-architecture-plantuml/diagrams/02_virtual_server_clustering.svg,png/advanced-cloud-architecture-plantuml/diagrams/02_virtual_server_clustering.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/advanced-cloud-architecture-plantuml/diagrams/02_virtual_server_clustering.png."
advanced-cloud-architecture-plantuml,advanced-cloud-architecture-plantuml/diagrams/03_load_balanced_virtual_server_instances.puml,Load-Balanced Virtual Server Instances,Sequence,svg/advanced-cloud-architecture-plantuml/diagrams/03_load_balanced_virtual_server_instances.svg,png/advanced-cloud-architecture-plantuml/diagrams/03_load_balanced_virtual_server_instances.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/advanced-cloud-architecture-plantuml/diagrams/03_load_balanced_virtual_server_instances.png."
advanced-cloud-architecture-plantuml,advanced-cloud-architecture-plantuml/diagrams/04_nondisruptive_service_relocation.puml,Nondisruptive Service Relocation,Sequence,svg/advanced-cloud-architecture-plantuml/diagrams/04_nondisruptive_service_relocation.svg,png/advanced-cloud-architecture-plantuml/diagrams/04_nondisruptive_service_relocation.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/advanced-cloud-architecture-plantuml/diagrams/04_nondisruptive_service_relocation.png."
advanced-cloud-architecture-plantuml,advanced-cloud-architecture-plantuml/diagrams/05_zero_downtime.puml,Zero Downtime,Deployment,svg/advanced-cloud-architecture-plantuml/diagrams/05_zero_downtime.svg,png/advanced-cloud-architecture-plantuml/diagrams/05_zero_downtime.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/advanced-cloud-architecture-plantuml/diagrams/05_zero_downtime.png."
advanced-cloud-architecture-plantuml,advanced-cloud-architecture-plantuml/diagrams/06_cloud_balancing.puml,Cloud Balancing,Component,svg/advanced-cloud-architecture-plantuml/diagrams/06_cloud_balancing.svg,png/advanced-cloud-architecture-plantuml/diagrams/06_cloud_balancing.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/advanced-cloud-architecture-plantuml/diagrams/06_cloud_balancing.png."
advanced-cloud-architecture-plantuml,advanced-cloud-architecture-plantuml/diagrams/07_resilient_disaster_recovery.puml,Resilient Disaster Recovery,Deployment,svg/advanced-cloud-architecture-plantuml/diagrams/07_resilient_disaster_recovery.svg,png/advanced-cloud-architecture-plantuml/diagrams/07_resilient_disaster_recovery.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/advanced-cloud-architecture-plantuml/diagrams/07_resilient_disaster_recovery.png."
advanced-cloud-architecture-plantuml,advanced-cloud-architecture-plantuml/diagrams/08_distributed_data_sovereignty.puml,Distributed Data Sovereignty,Deployment,svg/advanced-cloud-architecture-plantuml/diagrams/08_distributed_data_sovereignty.svg,png/advanced-cloud-architecture-plantuml/diagrams/08_distributed_data_sovereignty.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/advanced-cloud-architecture-plantuml/diagrams/08_distributed_data_sovereignty.png."
advanced-cloud-architecture-plantuml,advanced-cloud-architecture-plantuml/diagrams/09_resource_reservation.puml,Resource Reservation,Activity,svg/advanced-cloud-architecture-plantuml/diagrams/09_resource_reservation.svg,png/advanced-cloud-architecture-plantuml/diagrams/09_resource_reservation.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/advanced-cloud-architecture-plantuml/diagrams/09_resource_reservation.png."
advanced-cloud-architecture-plantuml,advanced-cloud-architecture-plantuml/diagrams/10_dynamic_failure_detection_and_recovery.puml,Dynamic Failure Detection and Recovery,Activity,svg/advanced-cloud-architecture-plantuml/diagrams/10_dynamic_failure_detection_and_recovery.svg,png/advanced-cloud-architecture-plantuml/diagrams/10_dynamic_failure_detection_and_recovery.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/advanced-cloud-architecture-plantuml/diagrams/10_dynamic_failure_detection_and_recovery.png."
